shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
suswa_nairobi,-1.04441078,36.32114425,1
suswa_nairobi,-1.041191098,36.33141079,2
suswa_nairobi,-1.039915374,36.3356632,3
suswa_nairobi,-1.036209703,36.34820781,4
suswa_nairobi,-1.032625528,36.36026643,5
suswa_nairobi,-1.031775046,36.36426066,6
suswa_nairobi,-1.031714298,36.36547563,7
suswa_nairobi,-1.031896544,36.36726772,8
suswa_nairobi,-1.032412908,36.36969767,9
suswa_nairobi,-1.033020395,36.37127713,10
suswa_nairobi,-1.036452698,36.37768612,11
suswa_nairobi,-1.039338262,36.38275864,12
suswa_nairobi,-1.040097621,36.38467222,13
suswa_nairobi,-1.040340615,36.38561383,14
suswa_nairobi,-1.040530911,36.38695704,15
suswa_nairobi,-1.041283904,36.39852255,16
suswa_nairobi,-1.042248677,36.41392361,17
suswa_nairobi,-1.043331105,36.42996002,18
suswa_nairobi,-1.044272346,36.44503165,19
suswa_nairobi,-1.04549596,36.46383295,20
suswa_nairobi,-1.04570774,36.46788029,21
suswa_nairobi,-1.046600363,36.48239651,22
suswa_nairobi,-1.048343021,36.50669853,23
suswa_nairobi,-1.048728917,36.51469209,24
suswa_nairobi,-1.049335326,36.52202412,25
suswa_nairobi,-1.050493015,36.52538694,26
suswa_nairobi,-1.051264807,36.52654462,27
suswa_nairobi,-1.059242989,36.5350992,28
suswa_nairobi,-1.064956144,36.54185742,29
suswa_nairobi,-1.066922605,36.5443155,30
suswa_nairobi,-1.069544553,36.54617271,31
suswa_nairobi,-1.084737657,36.55200348,32
suswa_nairobi,-1.087393436,36.55271554,33
suswa_nairobi,-1.08966432,36.55283101,34
suswa_nairobi,-1.09135786,36.55283101,35
suswa_nairobi,-1.092801219,36.55263856,36
suswa_nairobi,-1.099787073,36.55023296,37
suswa_nairobi,-1.104944674,36.54832773,38
suswa_nairobi,-1.106522746,36.54778888,39
suswa_nairobi,-1.109890582,36.54673041,40
suswa_nairobi,-1.11177657,36.54613383,41
suswa_nairobi,-1.112392403,36.54576818,42
suswa_nairobi,-1.11347011,36.5458644,43
suswa_nairobi,-1.115028937,36.54655721,44
suswa_nairobi,-1.116837947,36.54669192,45
suswa_nairobi,-1.117511514,36.54688437,46
suswa_nairobi,-1.120071069,36.54751945,47
suswa_nairobi,-1.124131718,36.54825075,48
suswa_nairobi,-1.126056195,36.54869338,49
suswa_nairobi,-1.12784596,36.5490013,50
suswa_nairobi,-1.129077626,36.5488281,51
suswa_nairobi,-1.129924396,36.54857791,52
suswa_nairobi,-1.130674942,36.54852018,53
suswa_nairobi,-1.131386999,36.5488281,54
suswa_nairobi,-1.131694915,36.54930921,55
suswa_nairobi,-1.131945097,36.55025221,56
suswa_nairobi,-1.132099056,36.55077182,57
suswa_nairobi,-1.132618665,36.55107973,58
suswa_nairobi,-1.13392731,36.55167632,59
suswa_nairobi,-1.135582361,36.55221518,60
suswa_nairobi,-1.14000211,36.55366724,61
suswa_nairobi,-1.142370476,36.55409143,62
suswa_nairobi,-1.143855124,36.55405608,63
suswa_nairobi,-1.148485811,36.5533491,64
suswa_nairobi,-1.150394644,36.55296027,65
suswa_nairobi,-1.153752775,36.55264213,66
suswa_nairobi,-1.154919284,36.55264213,67
suswa_nairobi,-1.156934163,36.55320771,68
suswa_nairobi,-1.15958532,36.55451561,69
suswa_nairobi,-1.16099927,36.55543468,70
suswa_nairobi,-1.162943451,36.5562477,71
suswa_nairobi,-1.164322053,36.55649514,72
suswa_nairobi,-1.170189946,36.5563891,73
suswa_nairobi,-1.172134127,36.55670724,74
suswa_nairobi,-1.173936914,36.55727282,75
suswa_nairobi,-1.175810398,36.5578384,76
suswa_nairobi,-1.177542487,36.55826258,77
suswa_nairobi,-1.181077362,36.55865142,78
suswa_nairobi,-1.194050355,36.55971188,79
suswa_nairobi,-1.19815081,36.56003002,80
suswa_nairobi,-1.200342433,36.55981793,81
suswa_nairobi,-1.205962885,36.55840398,82
