trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
trip_001,08:00:00,08:00:00,stop_01,1,,,,,1
trip_001,08:19:00,08:22:00,stop_02,2,,,,,1
trip_001,09:27:00,09:31:00,stop_03,3,,,,,1
trip_001,10:14:00,10:18:00,stop_04,4,,,,,1
trip_001,10:50:00,10:54:00,stop_05,5,,,,,1
trip_001,12:02:00,12:08:00,stop_06,6,,,,,1
trip_001,12:41:00,12:43:00,stop_07,7,,,,,1
trip_001,13:27:00,13:30:00,stop_08,8,,,,,1
trip_001,14:00:00,14:00:00,stop_09,9,,,,,1
trip_002,15:00:00,15:00:00,stop_01,1,,,,,1
trip_002,20:08:00,20:08:00,stop_09,2,,,,,1
trip_003,22:00:00,22:00:00,stop_01,1,,,,,1
trip_003,27:35:00,27:35:00,stop_09,2,,,,,1
trip_004,08:00:00,08:00:00,stop_09,1,,,,,1
trip_004,08:26:00,08:28:00,stop_08,2,,,,,1
trip_004,09:12:00,09:14:00,stop_07,3,,,,,1
trip_004,09:49:00,09:55:00,stop_06,4,,,,,1
trip_004,11:18:00,11:21:00,stop_05,5,,,,,1
trip_004,11:51:00,11:53:00,stop_04,6,,,,,1
trip_004,12:36:00,12:39:00,stop_03,7,,,,,1
trip_004,13:45:00,13:47:00,stop_02,8,,,,,1
trip_004,14:10:00,14:10:00,stop_01,9,,,,,1
trip_005,15:00:00,15:00:00,stop_09,1,,,,,1
trip_005,20:08:00,20:08:00,stop_01,2,,,,,1
trip_006,22:00:00,22:00:00,stop_09,1,,,,,1
trip_006,27:35:00,27:35:00,stop_01,2,,,,,1
trip_007,05:10:00,05:10:00,stop_01,1,,,,,1
trip_007,05:34:00,05:37:00,stop_10,2,,,,,1
trip_007,05:52:00,05:52:00,stop_11,3,,,,,1
trip_008,18:40:00,18:40:00,stop_01,1,,,,,1
trip_008,19:04:00,19:07:00,stop_10,2,,,,,1
trip_008,19:22:00,19:22:00,stop_11,3,,,,,1
trip_009,06:20:00,06:20:00,stop_11,1,,,,,1
trip_009,06:35:00,06:38:00,stop_10,2,,,,,1
trip_009,07:04:00,07:04:00,stop_01,3,,,,,1
trip_010,19:47:00,19:47:00,stop_11,1,,,,,1
trip_010,20:02:00,20:05:00,stop_10,2,,,,,1
trip_010,20:28:00,20:28:00,stop_01,3,,,,,1
trip_011,08:50:00,08:50:00,stop_01,1,,,,,1
trip_011,09:14:00,09:24:00,stop_10,2,,,,,1
trip_011,09:39:00,09:49:00,stop_11,3,,,,,1
trip_011,10:10:00,10:10:00,stop_12,4,,,,,1
trip_011,10:34:00,10:44:00,stop_13,5,,,,,1
trip_011,10:51:00,10:51:00,stop_14,6,,,,,1
trip_011,11:10:00,11:10:00,stop_15,7,,,,,1
trip_012,15:50:00,15:50:00,stop_15,1,,,,,1
trip_012,16:08:00,16:08:00,stop_14,2,,,,,1
trip_012,16:15:00,16:25:00,stop_13,3,,,,,1
trip_012,16:50:00,16:50:00,stop_12,4,,,,,1
trip_012,17:11:00,17:21:00,stop_11,5,,,,,1
trip_012,17:37:00,17:47:00,stop_10,6,,,,,1
trip_012,18:10:00,18:10:00,stop_01,7,,,,,1
